Numbers	Names	Types	No_Tones	Register	Harmonicity	Roughness	Sharpness
124	"E-A-C"	"minor"	3	"low"	0.626019862723789	0.468344462975365	0.877522128303218
125	"F-A#-C#"	"minor"	3	"low"	0.69903018490826	1.04380797338396	0.780213448509311
126	"F#-B-D"	"minor"	3	"low"	0.600961938425146	1.406278327422	0.776559337997162
127	"G-C-D#"	"minor"	3	"low"	0.612151618666761	1.06670911027252	0.784474999803022
128	"G#-C#-E"	"minor"	3	"low"	0.66866894674105	1.23851293097456	0.881687568529299
129	"A-D-F"	"minor"	3	"low"	0.677995716845448	0.874065512940985	0.832752263279758
130	"A#-D#-F#"	"minor"	3	"low"	0.643850959400385	0.747094753043616	0.811869600710203
131	"B-E-G"	"minor"	3	"low"	0.630468113935119	0.614009758559834	0.807146727394015
132	"C-F-G#"	"minor"	3	"low"	0.584546110023653	0.41324868425597	0.843530509583456
133	"G-B-D-E"	"sixth"	4	"high"	0.715141815882239	0.473331643120879	0.812577743231788
134	"G#-C-D#-F"	"sixth"	4	"high"	0.58469827909093	0.404991704731572	0.891231913414199
135	"A-C#-E-F#"	"sixth"	4	"high"	0.677530563284644	0.427638047593672	0.905315827106072
136	"A#-D-F-G"	"sixth"	4	"high"	0.559350968152181	0.345792467511973	0.85864313642276
137	"B-D#-F#-G#"	"sixth"	4	"high"	0.554307120122457	0.319822572439352	0.913823444082077
138	"C-E-G-A"	"sixth"	4	"high"	0.566754178772272	0.774109300102474	0.827745924759453
139	"C#-F-G#-A#"	"sixth"	4	"high"	0.584899299261075	1.07009952885084	0.844644340785983
140	"D-F#-A-B"	"sixth"	4	"high"	0.698001775796789	0.651537435225198	0.877924561434782
141	"D#-G-A#-C"	"sixth"	4	"high"	0.563374478396244	0.697278985525268	0.884430515461399
142	"E-G#-B-C#"	"sixth"	4	"high"	0.591505560968815	0.479861588497316	0.868038323043895
143	"F-A-C-D"	"sixth"	4	"high"	0.616298382471601	0.386742434747072	0.843537807579617
144	"G-B-D-E"	"sixth"	4	"low"	0.617891617610464	0.321066711857938	0.830574989028234
145	"G#-C-D#-F"	"sixth"	4	"low"	0.632068673948636	0.246223134109185	0.854357457734111
146	"A-C#-E-F#"	"sixth"	4	"low"	0.635772093087854	0.353330314140944	0.881725782762551
147	"A#-D-F-G"	"sixth"	4	"low"	0.607669839829477	0.272844664008629	0.951476149907015
148	"B-D#-F#-G#"	"sixth"	4	"low"	0.581029007739942	0.499176631101027	0.953834227192699
149	"C-E-G-A"	"sixth"	4	"low"	0.582143292668349	0.399526506424809	0.904425150974735
150	"C#-F-G#-A#"	"sixth"	4	"low"	0.599719179827727	0.250919199457515	0.878472797803397
151	"D-F#-A-B"	"sixth"	4	"low"	0.589380479621219	0.658867630727927	0.856046711615733
152	"D#-G-A#-C"	"sixth"	4	"low"	0.617915019902104	0.438468600907305	0.844336956649984
153	"E-G#-B-C#"	"sixth"	4	"low"	0.606719494904077	0.441875431905857	0.894440228475671
154	"F-A-C-D"	"sixth"	4	"low"	0.603153634998375	0.508556439555015	0.91305081661943
155	"G-A#-D-F"	"m7"	4	"high"	0.595999287303104	0.356430226189108	0.936699262082927
156	"G#-B-D#-F#"	"m7"	4	"high"	0.589564710239132	0.400771359748219	0.871640857851629
157	"A-C-E-G"	"m7"	4	"high"	0.594227670997703	0.267497161887853	0.934280283055224
158	"A#-C#-F-G#"	"m7"	4	"high"	0.73652739591629	0.257447094668861	0.897922789020031
159	"B-D-F#-A"	"m7"	4	"high"	0.595350549005812	0.168000047221662	0.93431030883521
160	"C-D#-G-A#"	"m7"	4	"high"	0.592881950401192	0.238058741641918	0.974152188688018
161	"C#-E-G#-B"	"m7"	4	"high"	0.588901099173545	0.337309110314335	1.01761535628772
162	"D-F-A-C"	"m7"	4	"high"	0.583625814966116	0.240937638543467	1.02258513506677
163	"D#-F#-A#-C#"	"m7"	4	"high"	0.5934992424485	2.621728206804	0.785719739771234
164	"E-G-B-D"	"m7"	4	"high"	0.55975516547891	2.52392624937638	0.719954497351519
165	"F-G#-C-D#"	"m7"	4	"high"	0.589671781961879	1.4507266226555	0.758797531402955
166	"G-A#-D-F"	"m7"	4	"low"	0.618606542420013	1.33417959130238	0.783631263804892
167	"G#-B-D#-F#"	"m7"	4	"low"	0.63996052522222	1.74575347781262	0.760066949352656
168	"A-C-E-G"	"m7"	4	"low"	0.668625196478517	1.38173064781836	0.778039415171937
169	"A#-C#-F-G#"	"m7"	4	"low"	0.663257229909382	1.38405925982607	0.853840205308151
170	"B-D-F#-A"	"m7"	4	"low"	0.624815899930487	1.35012912651649	0.83544315533119
171	"C-D#-G-A#"	"m7"	4	"low"	0.575393183803634	1.25208813960033	0.839598012046586
172	"C#-E-G#-B"	"m7"	4	"low"	0.568255611420222	1.31464997094841	0.875232315112544
173	"D-F-A-C"	"m7"	4	"low"	0.599799510304547	0.683484315264614	0.897590857260357
174	"D#-F#-A#-C#"	"m7"	4	"low"	0.549472616098898	0.825190024903601	0.807236885530102
175	"E-G-B-D"	"m7"	4	"low"	0.557026336398646	0.668195509233244	0.88297701240313
176	"F-G#-C-D#"	"m7"	4	"low"	0.552968422226681	0.837182743229348	0.87289051190827
177	"G-A-B-D-E"	"pentatonic"	5	"high"	0.574903257824245	0.330939684957667	0.907294974770524
178	"G#-A#-C-D#-F"	"pentatonic"	5	"high"	0.659421304746587	0.581820342374409	0.894145391072833
179	"A-B-C#-E-F#"	"pentatonic"	5	"high"	0.560434217386107	0.518940010630955	0.952370243817924
180	"A#-C-D-F-G"	"pentatonic"	5	"high"	0.552440919501826	0.298979106590585	0.909186417781319
181	"B-C#-D#-F#-G#"	"pentatonic"	5	"high"	0.553190356547512	0.28933971554367	0.882875796419768
182	"C-D-E-G-A"	"pentatonic"	5	"high"	0.579956360646888	0.270261490418473	0.923619711826412
183	"C#-D#-F-G#-A#"	"pentatonic"	5	"high"	0.561704948889987	0.315134912526287	0.890102865402099
184	"D-E-F#-A-B"	"pentatonic"	5	"high"	0.563189913605765	0.201332104783551	0.937310393271708
185	"D#-F-G-A#-C"	"pentatonic"	5	"high"	0.545186529253663	0.289629623201784	1.01856559268559
186	"E-F#-G#-B-C#"	"pentatonic"	5	"high"	0.568762798657979	0.267693153291696	0.980593018280936
187	"F-G-A-C-D"	"pentatonic"	5	"high"	0.556814706465639	0.286189476575692	0.96732027081186
188	"G-A#-D-F-A"	"m9"	5	"high"	0.596866802066914	2.28473934177083	0.778071387624019
189	"G#-B-D#-F#-A#"	"m9"	5	"high"	0.60669377341555	1.87724089236665	0.738968827209222
190	"A-C-E-G-B"	"m9"	5	"high"	0.531889717803573	1.79213608141031	0.748758796072414
191	"A#-C#-F-G#-C"	"m9"	5	"high"	0.544465312222527	1.74889314252579	0.811125310565553
192	"B-D-F#-A-C#"	"m9"	5	"high"	0.616373382327373	1.40406800892264	0.790962044298691
193	"C-D#-G-A#-D"	"m9"	5	"high"	0.661453083681471	1.50813861695828	0.781597385411932
